-58612,-12830.9
-58603.9,-12867.8
-58595.8,-12904.6
-58587.7,-12941.4
-58579.6,-12978.2
-58571.4,-13015
-58563.2,-13051.8
-58555,-13088.6
-58546.8,-13125.4
-58538.5,-13162.2
-58530.2,-13198.9
-58521.9,-13235.7
-58513.6,-13272.5
-58505.2,-13309.2
-58496.9,-13346
-58488.5,-13382.8
-58480.1,-13419.5
-58471.6,-13456.2
-58463.1,-13493
-58454.7,-13529.7
-58446.1,-13566.4
-58437.6,-13603.2
-58429.1,-13639.9
-58420.5,-13676.6
-58411.9,-13713.3
-58403.2,-13750
-58394.6,-13786.7
-58385.9,-13823.4
-58377.2,-13860.1
-58368.5,-13896.7
-58359.8,-13933.4
-58351,-13970.1
-58342.2,-14006.7
-58333.4,-14043.4
-58324.5,-14080
-58315.7,-14116.7
-58306.8,-14153.3
-58297.9,-14189.9
-58289,-14226.6
-58280,-14263.2
-58271.1,-14299.8
-58262.1,-14336.4
-58253,-14373
-58244,-14409.6
-58234.9,-14446.2
-58225.8,-14482.8
-58216.7,-14519.4
-58207.6,-14555.9
-58198.4,-14592.5
-58189.3,-14629.1
-58180.1,-14665.6
-58170.8,-14702.2
-58161.6,-14738.7
-58152.3,-14775.3
-58143,-14811.8
-58133.7,-14848.3
-58124.4,-14884.9
-58115,-14921.4
-58105.6,-14957.9
-58096.2,-14994.4
-58086.8,-15030.9
-58077.3,-15067.4
-58067.8,-15103.9
-58058.3,-15140.4
-58048.8,-15176.9
-58039.3,-15213.3
-58029.7,-15249.8
-58020.1,-15286.2
-58010.5,-15322.7
-58000.8,-15359.1
-57991.2,-15395.6
-57981.5,-15432
-57971.8,-15468.4
-57962.1,-15504.9
-57952.3,-15541.3
-57942.5,-15577.7
-57932.7,-15614.1
-57922.9,-15650.5
-57913.1,-15686.9
-57903.2,-15723.3
-57893.3,-15759.6
-57883.4,-15796
-57873.4,-15832.4
-57863.5,-15868.7
-57853.5,-15905.1
-57843.5,-15941.4
-57833.5,-15977.8
-57823.4,-16014.1
-57813.3,-16050.4
-57803.3,-16086.8
-57793.1,-16123.1
-57783,-16159.4
-57772.8,-16195.7
-57762.6,-16232
-57752.4,-16268.3
-57742.2,-16304.6
-57731.9,-16340.8
-57721.7,-16377.1
-57711.4,-16413.4
-57701,-16449.6
-57690.7,-16485.9
-57680.3,-16522.1
-57669.9,-16558.4
-57659.5,-16594.6
-57649.1,-16630.8
-57638.6,-16667
-57628.1,-16703.3
-57617.6,-16739.5
-57607.1,-16775.7
-57596.5,-16811.9
-57586,-16848
-57575.4,-16884.2
-57564.8,-16920.4
-57554.1,-16956.6
-57543.4,-16992.7
-57532.8,-17028.9
-57522,-17065
-57511.3,-17101.2
-57500.6,-17137.3
-57489.8,-17173.4
-57479,-17209.5
-57468.1,-17245.6
-57457.3,-17281.7
-57446.4,-17317.8
-57435.5,-17353.9
-57424.6,-17390
-57413.7,-17426.1
-57402.7,-17462.2
-57391.7,-17498.2
-57380.7,-17534.3
-57369.7,-17570.3
-57358.7,-17606.4
-57347.6,-17642.4
-57336.5,-17678.4
-57325.4,-17714.5
-57314.2,-17750.5
-57303.1,-17786.5
-57291.9,-17822.5
-57280.7,-17858.5
-57269.4,-17894.5
-57258.2,-17930.5
-57246.9,-17966.4
-57235.6,-18002.4
-57224.3,-18038.4
-57212.9,-18074.3
-57201.6,-18110.3
-57190.2,-18146.2
-57178.8,-18182.1
-57167.3,-18218
-57155.9,-18254
-57144.4,-18289.9
-57132.9,-18325.8
-57121.4,-18361.7
-57109.8,-18397.5
-57098.2,-18433.4
-57086.6,-18469.3
-57075,-18505.2
-57063.4,-18541
-57051.7,-18576.9
-57040,-18612.7
-57028.3,-18648.5
-57016.6,-18684.4
-57004.9,-18720.2
-56993.1,-18756
-56981.3,-18791.8
-56969.5,-18827.6
-56957.6,-18863.4
-56945.8,-18899.2
-56933.9,-18935
-56922,-18970.7
-56910,-19006.5
-56898.1,-19042.2
-56886.1,-19078
-56874.1,-19113.7
-56862.1,-19149.5
-56850.1,-19185.2
-56838,-19220.9
-56825.9,-19256.6
-56813.8,-19292.3
-56801.7,-19328
-56789.5,-19363.7
-56777.3,-19399.4
-56765.1,-19435
-56752.9,-19470.7
-56740.7,-19506.4
-56728.4,-19542
-56716.1,-19577.6
-56703.8,-19613.3
-56691.4,-19648.9
-56679.1,-19684.5
-56666.7,-19720.1
-56654.3,-19755.7
-56641.9,-19791.3
-56629.4,-19826.9
-56617,-19862.5
-56604.5,-19898.1
-56592,-19933.6
-56579.4,-19969.2
-56566.9,-20004.7
-56554.3,-20040.3
-56541.7,-20075.8
-56529.1,-20111.3
-56516.4,-20146.8
-56503.8,-20182.3
-56491.1,-20217.8
-56478.3,-20253.3
-56465.6,-20288.8
-56452.8,-20324.3
-56440.1,-20359.7
-56427.3,-20395.2
-56414.4,-20430.6
-56401.6,-20466.1
-56388.7,-20501.5
-56375.8,-20536.9
-56362.9,-20572.4
-56350,-20607.8
-56337,-20643.2
-56324,-20678.6
-56311,-20714
-56298,-20749.3
-56285,-20784.7
-56271.9,-20820.1
-56258.8,-20855.4
-56245.7,-20890.8
-56232.5,-20926.1
-56219.4,-20961.4
-56206.2,-20996.8
-56193,-21032.1
-56179.8,-21067.4
-56166.5,-21102.7
-56153.2,-21137.9
-56140,-21173.2
-56126.6,-21208.5
-56113.3,-21243.7
-56099.9,-21279
-56086.6,-21314.2
-56073.2,-21349.5
-56059.7,-21384.7
-56046.3,-21419.9
-56032.8,-21455.1
-56019.3,-21490.3
-56005.8,-21525.5
-55992.3,-21560.7
-55978.7,-21595.9
-55965.1,-21631.1
-55951.5,-21666.2
-55937.9,-21701.4
-55924.3,-21736.5
-55910.6,-21771.7
-55896.9,-21806.8
-55883.2,-21841.9
-55869.5,-21877
-55855.7,-21912.1
-55841.9,-21947.2
-55828.1,-21982.3
-55814.3,-22017.3
-55800.5,-22052.4
-55786.6,-22087.5
-55772.7,-22122.5
-55758.8,-22157.5
-55744.9,-22192.6
-55730.9,-22227.6
-55716.9,-22262.6
